address_id,street_name,street_address,city,zipcode,phone
sprs_508207_addr_556,edmaire,7909 edmaire,madison,53583,(707) 337-3535
sprs_508207_addr_293,nelson,9790 nelson,salem,97319,(214) 626-0170
sprs_508207_addr_488,kennedy harlem av ib,2197 kennedy harlem av ib,lakewood,80245,(682) 276-6983
sprs_508207_addr_029,may,2480 may,st. petersburg,33779,(724) 584-5208
sprs_508207_addr_736,haynes,6142 haynes,charleston,29408,(475) 993-4705
sprs_508207_addr_821,dan ryan 71st st,5772 dan ryan 71st st,riverside,92574,(475) 146-4291
sprs_508207_addr_349,streeter,2622 streeter,seattle,98713,(520) 197-6873
sprs_508207_addr_534,fulton market,1851 fulton market,lincoln,68327,(614) 200-2404
sprs_508207_addr_671,rockwell,5669 rockwell,los angeles,90276,(720) 949-9729
sprs_508207_addr_295,mccormick place,1716 mccormick place,denver,80378,(540) 563-4127
sprs_508207_addr_186,north branch,1609 north branch,chandler,85224,(774) 490-0127
sprs_508207_addr_576,somerset,9327 somerset,montpelier,5654,(206) 584-4075
sprs_508207_addr_438,calumet,1692 calumet,san antonio,78201,(904) 706-0605
sprs_508207_addr_098,stockton,242 stockton,buffalo,14294,(682) 455-8159
sprs_508207_addr_332,le mai,4360 le mai,milwaukee,53180,(254) 254-1968
sprs_508207_addr_163,senour,859 senour,chandler,85248,(620) 197-9117
sprs_508207_addr_814,bingham,7653 bingham,denver,80317,(240) 970-1878
sprs_508207_addr_324,hutchinson,3191 hutchinson,hampton,23623,(442) 480-3459
sprs_508207_addr_479,haddock,3948 haddock,elizabeth,7258,(727) 931-8386
sprs_508207_addr_864,poe,7109 poe,montgomery,36168,(712) 917-7810
sprs_508207_addr_185,ridgewood,1065 ridgewood,overland park,66235,(785) 718-3019
sprs_508207_addr_506,dan ryan 55th st,2200 dan ryan 55th st,montgomery,36117,(774) 884-3296
sprs_508207_addr_828,buena,4610 buena,cleveland,44087,(539) 840-6020
sprs_508207_addr_917,benson,1464 benson,fort wayne,46518,(747) 467-0468
sprs_508207_addr_254,canalport,349 canalport,buffalo,14224,(207) 206-6051
sprs_508207_addr_656,avenue j,3321 avenue j,sacramento,95576,(516) 631-5743
sprs_508207_addr_640,dan ryan michigan av,6595 dan ryan michigan av,richmond,23230,(443) 333-2011
sprs_508207_addr_210,wolcott,7353 wolcott,riverside,92547,(262) 475-2334
