student_id,gender,first_name,last_name,date_of_birth
sprs_508207_student_905,m,yuliana,boyle,10/14/01
sprs_508207_student_327,f,tony,anderson,3/23/42
sprs_508207_student_051,f,mustafa,bishop,12/6/26
sprs_508207_student_200,f,jaidyn,slater,5/30/16
sprs_508207_student_051,m,gideon,ramos,6/5/15
sprs_508207_student_474,m,desmond,acosta,11/17/60
sprs_508207_student_701,m,reagan,mccarty,1/26/83
sprs_508207_student_972,f,neveah,burris,4/14/41
sprs_508207_student_021,f,donte,wilder,6/30/08
sprs_508207_student_472,m,madyson,larson,3/8/22
sprs_508207_student_492,m,derrick,reid,3/3/50
sprs_508207_student_537,m,edwin,soto,10/28/46
sprs_508207_student_358,f,adan,moore,10/22/95
sprs_508207_student_026,f,cayden,guy,10/10/03
sprs_508207_student_791,f,jamison,madden,1/1/71
sprs_508207_student_700,f,liv,daugherty,9/24/91
sprs_508207_student_241,f,maryam,sosa,2/17/45
sprs_508207_student_273,m,ernest,wolfe,2/10/95
sprs_508207_student_602,m,zackery,poole,3/25/11
sprs_508207_student_621,m,payton,allen,3/25/59
sprs_508207_student_112,f,trystan,short,5/22/53
sprs_508207_student_732,m,lexie,ochoa,9/10/18
sprs_508207_student_071,f,nancy,mathis,9/6/55
sprs_508207_student_750,f,jacob,stevens,4/27/07
sprs_508207_student_118,m,kynlee,kent,7/3/57
sprs_508207_student_413,f,lydia,chase,3/21/19
sprs_508207_student_174,m,belen,finley,4/24/12
sprs_508207_student_711,m,brennen,douglas,1/18/12
sprs_508207_student_242,f,chance,hansen,5/27/77
sprs_508207_student_858,m,miracle,brooks,11/10/01
sprs_508207_student_324,f,bently,lindsay,5/30/58
sprs_508207_student_552,m,kayson,key,11/26/12
sprs_508207_student_092,f,taylor,carroll,2/10/99
sprs_508207_student_946,m,yuliana,roberson,3/14/71
sprs_508207_student_642,m,aubrie,mcintosh,1/3/09
sprs_508207_student_780,f,rylie,henson,1/25/79
sprs_508207_student_559,m,amirah,becker,10/19/34
sprs_508207_student_027,f,camdyn,fletcher,12/8/10
sprs_508207_student_516,m,ali,burke,10/15/06
sprs_508207_student_278,f,marlene,macias,6/27/09
sprs_508207_student_126,m,anaya,bishop,8/30/06
sprs_508207_student_667,m,jimena,herrera,2/12/80
sprs_508207_student_547,m,jaycee,banks,9/17/40
sprs_508207_student_742,f,keegan,weiss,3/27/88
sprs_508207_student_221,f,jaydin,bond,5/6/32
sprs_508207_student_274,f,jayda,schwartz,10/3/66
sprs_508207_student_949,f,alisson,abbott,7/31/04
sprs_508207_student_228,f,conrad,nunez,12/25/23
sprs_508207_student_646,m,halle,horne,11/3/72
sprs_508207_student_211,f,justin,crane,1/5/77
sprs_508207_student_720,m,ivan,gay,11/12/64
sprs_508207_student_671,m,nadia,stone,12/18/90
sprs_508207_student_070,f,hezekiah,justice,9/5/81
sprs_508207_student_017,f,amanda,haley,10/6/98
sprs_508207_student_990,m,skyler,mcbride,11/13/76
sprs_508207_student_990,f,osvaldo,bauer,9/13/52
sprs_508207_student_753,f,blaise,santos,6/12/02
sprs_508207_student_863,f,alyson,prince,6/12/40
sprs_508207_student_547,f,arianna,wright,8/23/48
sprs_508207_student_405,f,miriam,lee,11/5/86
sprs_508207_student_164,f,cortez,greer,2/15/79
sprs_508207_student_713,f,ishaan,pollard,12/11/78
sprs_508207_student_485,m,charlotte,odonnell,6/5/40
sprs_508207_student_018,f,lilyanna,kane,11/16/58
sprs_508207_student_713,f,bryanna,larsen,2/15/69
sprs_508207_student_062,f,jillian,wolf,4/17/95
sprs_508207_student_452,f,kason,quinn,5/25/83
sprs_508207_student_905,m,ulises,mcfarland,8/6/77
sprs_508207_student_521,m,alec,lloyd,8/4/66
sprs_508207_student_038,f,anika,estes,9/20/02
sprs_508207_student_066,m,ruby,anthony,10/14/82
sprs_508207_student_324,m,addisyn,cotton,8/27/12
sprs_508207_student_937,m,norah,alvarado,3/14/87
sprs_508207_student_554,m,raquel,durham,4/11/56
sprs_508207_student_496,f,alexandria,chavez,10/31/76
sprs_508207_student_872,f,leilani,sharpe,11/24/66
sprs_508207_student_525,f,tyler,small,2/11/78
sprs_508207_student_209,f,norah,harding,10/3/56
sprs_508207_student_102,m,grant,snyder,11/22/69
sprs_508207_student_412,f,alejandro,christensen,5/25/24
sprs_508207_student_899,m,sherlyn,fry,8/9/31
sprs_508207_student_479,f,heath,sweet,2/9/37
sprs_508207_student_259,f,jaylin,foster,4/27/02
sprs_508207_student_974,m,lucille,mccullough,7/21/09
sprs_508207_student_678,m,adan,robbins,1/18/51
sprs_508207_student_580,m,lesly,christensen,12/27/13
sprs_508207_student_873,m,jasper,carver,12/3/48
sprs_508207_student_325,m,kyra,emerson,10/25/10
sprs_508207_student_794,f,tristian,martinez,11/28/02
sprs_508207_student_847,f,mark,gill,5/13/37
sprs_508207_student_854,f,ashtyn,richmond,10/25/59
sprs_508207_student_709,m,clark,reeves,3/9/71
sprs_508207_student_070,m,natalya,vang,5/26/04
sprs_508207_student_593,f,randy,dudley,7/14/16
sprs_508207_student_397,f,spencer,simpson,12/14/86
sprs_508207_student_389,f,elijah,donovan,7/27/12
sprs_508207_student_065,m,rebekah,little,10/14/05
sprs_508207_student_919,m,camryn,rich,6/28/33
sprs_508207_student_862,m,joyce,thompson,1/15/24
sprs_508207_student_820,f,kellen,brennan,5/7/05
